,Title,Year,Metacritic,Internet Movie Database,Rotten Tomatoes,IMDB Votes
213,"Ghidorah, the Three-Headed Monster",1964,,0.67,0.75,5029.0
214,Ghosts of Mars,2001,0.35,0.49000000000000005,0.22,49756.0
215,The Giant Spider Invasion,1975,,0.3,,3297.0
216,God Told Me To,1976,,0.62,0.8,4151.0
217,Godzilla 2000,1999,0.41,0.61,,7144.0
218,Godzilla: Final Wars,2004,,0.64,0.5,7173.0
219,Godzilla vs. Gigan,1972,,0.5700000000000001,0.67,3843.0
220,Godzilla: King of the Monsters,2019,0.48,0.61,0.42,117004.0
221,Godzilla vs. Mechagodzilla,1974,,0.64,0.71,5251.0
222,Godzilla vs. SpaceGodzilla,1994,,0.5900000000000001,0.57,3883.0
223,Godzilla vs. Destoroyah,1995,,0.7,1.0,5118.0
224,Good Boy!,2003,0.49,0.51,0.44,3968.0
225,Grabbers,2012,0.62,0.63,0.72,16398.0
226,Green Lantern,2011,0.39,0.55,0.26,259826.0
227,The Green Slime,1968,,0.48,0.2,2941.0
228,Guardians of the Galaxy,2014,0.76,0.8,0.91,1007917.0
229,Guardians of the Galaxy Vol. 2,2017,0.67,0.76,0.85,531435.0
230,Hangar 18,1980,,0.53,,2150.0
231,HappinessCharge PreCure! the Movie: The Ballerina of the Land of Dolls,2014,,,,
232,Hardware Wars,1978,,0.6799999999999999,0.83,1765.0
233,"Have Rocket, Will Travel",1959,,0.58,,662.0
234,Heavy Metal,1981,0.51,0.67,0.6,29797.0
235,Heavy Metal 2000,2000,,0.54,0.1,7454.0
236,H.G. Wells' The War of the Worlds,2005,,,,
237,H.G. Wells' War of the Worlds,2005,,0.58,,18.0
238,The Hidden,1987,,0.7,0.77,16143.0
239,The Hidden II,1993,,0.29,,1158.0
240,Highlander II: The Quickening,1991,0.31,0.43,0.0,42311.0
241,High Plains Invaders,2009,,0.45,,1289.0
242,The Hitchhiker's Guide to the Galaxy,2005,0.63,0.6799999999999999,0.6,182275.0
243,Hobgoblins,1988,,0.22999999999999998,,10463.0
244,Home,2015,0.55,0.6599999999999999,0.5,88888.0
245,Honeymoon,2014,0.65,0.5700000000000001,0.75,23774.0
246,Horror Express,1972,0.68,0.65,0.67,8500.0
247,The Host,2013,0.35,0.5900000000000001,0.09,108372.0
248,How to Talk to Girls at Parties,2018,0.5,0.5700000000000001,0.47,8824.0
249,Howard the Duck,1986,0.28,0.47000000000000003,0.15,41325.0
250,I Am Number Four,2011,0.36,0.61,0.33,223324.0
251,I Come in Peace,1990,,,,
252,Illegal Aliens,2007,,0.32,,843.0
253,I Married a Monster from Outer Space,1958,,0.63,0.86,2273.0
254,Impostor,2002,,,,
255,Independence Day,1996,0.59,0.7,0.65,513458.0
256,Independence Day: Resurgence,2016,0.32,0.52,0.29,161085.0
257,Indiana Jones and the Kingdom of the Crystal Skull,2008,0.65,0.61,0.78,410278.0
258,Infected,2008,,0.39,,864.0
259,Inseminoid,1981,,0.9199999999999999,,6.0
260,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,,0.78,0.86,13137.0
261,Invaders from Mars,1953,,0.63,0.82,6859.0
262,Invaders from Mars,1986,0.56,0.5599999999999999,0.33,7503.0
263,Invasion,1966,,0.61,0.8,2997.0
264,The Invasion,2007,0.45,0.5900000000000001,0.19,72732.0
265,Invasion from Inner Earth,1974,,0.24,,460.0
266,Invasion of Astro-Monster,1965,,0.64,,4927.0
